Timestamp,Latitude,Longitude,Tree_no,Tree_sp,Usnea,Evernia,Hypogymnia,Melanelixia,Flavoparmelia,Parmelia, Leafy_Xanthoria,Cushion_Xanthoria,Physcia
28/01/2019 13:20,52.4615948,-1.9241182,2,Beech,0,1,1,0,1,0,1,0,1
07/02/2020 13:14,52.4621506,-1.9240548,1,Oak,1,0,1,1,0,1,1,0,0
28/01/2019 13:11,52.4593,-1.924,1,NA,0,0,2,0,0,0,0,1,2
28/01/2019 13:11,52.4596696,-1.9239948,1,Oak,0,0,0,0,3,0,0,0,0
28/01/2019 13:12,52.4596861,-1.9238784,1,NA,0,0,0,0,0,2,1,0,0
28/01/2019 13:12,52.4596861,-1.9238784,1,Beech,2,1,0,0,0,1,0,1,0
28/01/2019 13:12,52.4596861,-1.9238784,1,NA,0,0,0,0,0,2,1,0,0
28/01/2019 13:13,52.4596861,-1.9238784,1,Oak,0,0,0,0,0,2,1,0,0
28/01/2019 13:17,52.4596861,-1.9238784,1,oak,0,0,0,0,0,2,1,0,0
28/01/2019 13:17,52.4596861,-1.9238784,1,Beech,2,1,0,1,2,1,2,1,3
28/01/2019 13:18,52.4596861,-1.9238784,1,Beech,2,1,0,0,0,0,0,0,0
28/01/2019 13:19,52.4596861,-1.9238784,1,Beech,2,1,0,0,0,1,0,1,0
07/02/2020 13:09,52.4615235,-1.9237966,2,Oak,0,0,0,1,0,0,0,0,2
28/01/2019 13:11,52.459746,-1.923753,1,Oak,1,1,0,0,0,1,0,0,0
28/01/2019 13:10,52.459745,-1.923752,1,Oak,1,0,0,0,0,1,0,0,0
28/01/2019 13:11,52.459745,-1.923752,2,Oak,1,0,1,0,0,0,1,0,0
07/02/2020 13:13,52.462826,-1.923726,1,Birch,0,0,0,0,2,0,0,0,0
07/02/2020 13:00,52.464114,-1.923725,1,beech,1,2,1,1,0,0,0,0,0
07/02/2020 13:01,52.464114,-1.923725,1,Beech,1,2,1,1,0,0,0,0,0
07/02/2020 13:01,52.464114,-1.923725,1,Beech,1,2,1,1,0,0,0,0,0
28/01/2019 13:09,52.4623,-1.9237,1,Sycamore,3,0,0,0,1,0,0,0,0
28/01/2019 13:11,52.4623,-1.9237,2,Sycamore,3,0,0,0,1,0,0,0,0
03/02/2020 09:11,52.4633,-1.9236,2,Oak,2,0,0,1,2,0,0,0,0
07/02/2020 13:14,52.462529,-1.923519,2,Beech,0,0,0,1,0,0,0,0,0
28/01/2019 13:13,52.462197,-1.923434,2,Oak,0,2,1,0,0,0,1,0,0
28/01/2019 13:15,52.463046,-1.923382,2,Elm,0,0,0,0,0,0,2,1,0
28/01/2019 13:19,52.4626,-1.9233,2,Poplar,0,0,2,2,0,0,2,0,0
28/01/2019 13:24,52.461,-1.9233,2,Oak,0,0,0,0,0,2,0,0,0
28/01/2019 13:13,52.4626,-1.9233,1,Poplar,0,0,1,1,0,0,1,0,0
28/01/2019 13:14,52.4626,-1.9233,2,poplar,0,0,2,1,2,0,0,0,0
28/01/2019 13:15,52.4626,-1.9233,2,Poplar,0,0,2,2,0,1,2,0,0
28/01/2019 13:16,52.4626,-1.9233,2,poplar,0,0,2,2,1,0,0,0,0
28/01/2019 13:18,52.4626,-1.9233,2,Poplar,1,2,0,3,1,1,0,1,0
28/01/2019 13:19,52.4626,-1.9233,2,poplar,0,0,2,2,0,0,2,0,0
28/01/2019 13:19,52.4626,-1.9233,2,poplar,0,0,2,2,0,0,1,0,2
28/01/2019 13:21,52.4626,-1.9233,2,lichen,0,0,2,2,0,0,2,0,0
28/01/2019 13:13,52.4627,-1.9233,1,poplar,0,0,1,1,0,0,1,0,0
07/02/2020 12:59,52.4601873,-1.923277,2,NA,1,1,2,1,0,0,0,0,1
